exp_name,status,start_ms,end_ms,type,old,new,cross_phone_std,n_phones_accepted
eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1,edited,1776243991704,1776244008318,down,-16.625,-13.3226,0.1777,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp1,edited,1776243991704,1776244008318,down,-16.625,-13.3226,0.1777,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp1,edited,1776243991704,1776244008318,down,-16.625,-13.3226,0.1777,4
UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1,edited,1776243991704,1776244008318,down,-16.625,-13.3226,0.1777,4
eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1,edited,1776244047452,1776244062950,down,-8.75,-12.5073,0.9856,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp1,edited,1776244047452,1776244062950,down,-8.75,-12.5073,0.9856,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp1,edited,1776244047452,1776244062950,down,-8.75,-12.5073,0.9856,4
UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1,edited,1776244047452,1776244062950,down,-8.75,-12.5073,0.9856,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2,edited,1776249531953,1776249548090,up,-9.45,5.428,0.1018,4
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,edited,1776249531953,1776249548090,up,-9.45,5.428,0.1018,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2,edited,1776249531953,1776249548090,up,-9.45,5.428,0.1018,4
UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2,edited,1776249531953,1776249548090,up,-9.45,5.428,0.1018,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2,edited,1776249725037,1776249742712,up,10.4,12.287,0.18,4
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,edited,1776249725037,1776249742712,up,10.4,12.287,0.18,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2,edited,1776249725037,1776249742712,up,10.4,12.287,0.18,4
UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2,edited,1776249725037,1776249742712,up,10.4,12.287,0.18,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2,edited,1776249824080,1776249837401,down,-5.350000000000001,-3.1889,0.0585,4
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,edited,1776249824080,1776249837401,down,-5.350000000000001,-3.1889,0.0585,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2,edited,1776249824080,1776249837401,down,-5.350000000000001,-3.1889,0.0585,4
UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2,edited,1776249824080,1776249837401,down,-5.350000000000001,-3.1889,0.0585,4
eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2,edited,1776249875884,1776249894280,down,0.0,-5.5728,0.1063,4
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,edited,1776249875884,1776249894280,down,0.0,-5.5728,0.1063,4
UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2,edited,1776249875884,1776249894280,down,0.0,-5.5728,0.1063,4
UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2,edited,1776249875884,1776249894280,down,0.0,-5.5728,0.1063,4
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252198350,1776252221812,up,29.69,27.0788,0.7622,4
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252198350,1776252221812,up,29.69,27.0788,0.7622,4
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252198350,1776252221812,up,29.69,27.0788,0.7622,4
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252198350,1776252221812,up,29.69,27.0788,0.7622,4
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252287821,1776252298779,down,-7.82,-3.7073,0.1227,4
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252287821,1776252298779,down,-7.82,-3.7073,0.1227,4
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252287821,1776252298779,down,-7.82,-3.7073,0.1227,4
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252287821,1776252298779,down,-7.82,-3.7073,0.1227,4
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252322582,1776252340111,up,11.73,15.1485,0.769,4
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252322582,1776252340111,up,11.73,15.1485,0.769,4
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252322582,1776252340111,up,11.73,15.1485,0.769,4
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252322582,1776252340111,up,11.73,15.1485,0.769,4
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252372356,1776252388212,up,15.639999999999995,11.172,0.619,3
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252372356,1776252388212,up,15.639999999999995,11.172,0.619,3
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252372356,1776252388212,up,15.639999999999995,11.172,0.619,3
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252372356,1776252388212,up,15.639999999999995,11.172,0.619,3
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252763773,1776252785245,up,21.87,23.5313,0.8453,4
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252763773,1776252785245,up,21.87,23.5313,0.8453,4
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252763773,1776252785245,up,21.87,23.5313,0.8453,4
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252763773,1776252785245,up,21.87,23.5313,0.8453,4
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,edited,1776252813469,1776252834263,down,-25.78,-22.5398,0.5599,3
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,edited,1776252813469,1776252834263,down,-25.78,-22.5398,0.5599,3
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,edited,1776252813469,1776252834263,down,-25.78,-22.5398,0.5599,3
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,edited,1776252813469,1776252834263,down,-25.78,-22.5398,0.5599,3
eyalyakir_beitMansour1_SamsungSM-S911B_15-04-2026_exp5,edited,1776253838455,1776253857058,down,-15.4,-18.1045,0.2627,4
eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5,edited,1776253838455,1776253857058,down,-15.4,-18.1045,0.2627,4
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,edited,1776253838455,1776253857058,down,-15.4,-18.1045,0.2627,4
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,edited,1776253838455,1776253857058,down,-15.4,-18.1045,0.2627,4
eyalyakir_beitMansour1_SamsungSM-S911B_15-04-2026_exp5,edited,1776253875643,1776253888035,up,3.23,6.4894,0.1056,4
eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5,edited,1776253875643,1776253888035,up,3.23,6.4894,0.1056,4
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,edited,1776253875643,1776253888035,up,3.23,6.4894,0.1056,4
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,edited,1776253875643,1776253888035,up,3.23,6.4894,0.1056,4
eyalyakir_beitMansour1_SamsungSM-S911B_15-04-2026_exp5,edited,1776254076923,1776254097552,down,-17.86,-20.1042,1.1216,4
eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5,edited,1776254076923,1776254097552,down,-17.86,-20.1042,1.1216,4
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,edited,1776254076923,1776254097552,down,-17.86,-20.1042,1.1216,4
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,edited,1776254076923,1776254097552,down,-17.86,-20.1042,1.1216,4
eyalyakir_beitMansour1_SamsungSM-S911B_15-04-2026_exp5,edited,1776254355124,1776254371816,up,10.35,12.9993,0.2258,4
eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5,edited,1776254355124,1776254371816,up,10.35,12.9993,0.2258,4
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,edited,1776254355124,1776254371816,up,10.35,12.9993,0.2258,4
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,edited,1776254355124,1776254371816,up,10.35,12.9993,0.2258,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776255517538,1776255551234,up,51.0,49.0667,0.7694,4
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776255517538,1776255551234,up,51.0,49.0667,0.7694,4
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776255517538,1776255551234,up,51.0,49.0667,0.7694,4
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776255517538,1776255551234,up,51.0,49.0667,0.7694,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776255578381,1776255593362,down,-7.480000000000004,-11.2143,0.1778,4
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776255578381,1776255593362,down,-7.480000000000004,-11.2143,0.1778,4
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776255578381,1776255593362,down,-7.480000000000004,-11.2143,0.1778,4
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776255578381,1776255593362,down,-7.480000000000004,-11.2143,0.1778,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776255658776,1776255673679,down,-7.48,-10.3703,0.1463,4
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776255658776,1776255673679,down,-7.48,-10.3703,0.1463,4
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776255658776,1776255673679,down,-7.48,-10.3703,0.1463,4
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776255658776,1776255673679,down,-7.48,-10.3703,0.1463,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776255681594,1776255693589,down,-9.86,-5.3634,0.1206,4
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776255681594,1776255693589,down,-9.86,-5.3634,0.1206,4
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776255681594,1776255693589,down,-9.86,-5.3634,0.1206,4
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776255681594,1776255693589,down,-9.86,-5.3634,0.1206,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776255701543,1776255715052,up,9.86,8.1724,0.1482,4
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776255701543,1776255715052,up,9.86,8.1724,0.1482,4
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776255701543,1776255715052,up,9.86,8.1724,0.1482,4
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776255701543,1776255715052,up,9.86,8.1724,0.1482,4
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,edited,1776256167968,1776256187368,down,-14.96,-19.7414,0.4135,3
eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6,edited,1776256167968,1776256187368,down,-14.96,-19.7414,0.4135,3
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,edited,1776256167968,1776256187368,down,-14.96,-19.7414,0.4135,3
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,edited,1776256167968,1776256187368,down,-14.96,-19.7414,0.4135,3
