r2_peak_thresh,min_peak_abs_a,nms_radius_s,same_sign_min_gap_s,min_ride_s,max_ride_s,joint_r2_thresh,min_pair_abs_a,n_gt,n_pred,clean,missed,gt_merged,gt_split,fp,pred_merged,pred_split_part,f1_like,recall,precision,miss_rate,merge_rate,fp_rate,iou_f1@0.5,iou_precision@0.5,iou_recall@0.5,iou_mean@0.5,iou_tp@0.5,iou_fp@0.5,iou_fn@0.5
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.3,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.5,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.7,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.3,0.5,5.0,10.0,120.0,0.85,0.7,415,149,17,176,182,40,25,106,1,0.06028368794326241,0.04096385542168675,0.11409395973154363,0.42409638554216866,0.7114093959731543,0.16778523489932887,0.060283687943262415,0.11409395973154363,0.04096385542168675,0.6151871223188998,17,132,398
0.85,0.7,0.5,5.0,10.0,120.0,0.85,0.3,415,120,16,221,151,27,24,79,1,0.059813084112149535,0.03855421686746988,0.13333333333333333,0.5325301204819277,0.6583333333333333,0.2,0.0411214953271028,0.09166666666666666,0.02650602409638554,0.6342226111283605,11,109,404
0.85,0.7,0.5,5.0,10.0,120.0,0.85,0.5,415,120,16,221,151,27,24,79,1,0.059813084112149535,0.03855421686746988,0.13333333333333333,0.5325301204819277,0.6583333333333333,0.2,0.0411214953271028,0.09166666666666666,0.02650602409638554,0.6342226111283605,11,109,404
0.85,0.5,0.5,15.0,10.0,120.0,0.75,0.7,415,154,17,171,182,45,22,111,4,0.05975395430579965,0.04096385542168675,0.11038961038961038,0.41204819277108434,0.7207792207792207,0.14285714285714285,0.0562390158172232,0.1038961038961039,0.03855421686746988,0.6050465061623249,16,138,399
0.75,0.3,0.5,15.0,10.0,120.0,0.75,0.7,415,160,16,170,183,46,27,112,5,0.05565217391304348,0.03855421686746988,0.1,0.40963855421686746,0.7,0.16875,0.05565217391304349,0.1,0.03855421686746988,0.6050465061623249,16,144,399
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.3,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.5,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.7,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.3,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.5,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.7,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.5,0.5,15.0,10.0,120.0,0.85,0.7,415,138,14,185,175,41,18,105,1,0.05063291139240506,0.033734939759036145,0.10144927536231885,0.4457831325301205,0.7608695652173914,0.13043478260869565,0.05424954792043399,0.10869565217391304,0.03614457831325301,0.6114391935471294,15,123,400
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.3,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.5,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.7,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.5,0.5,15.0,10.0,120.0,0.85,0.7,415,137,13,184,177,41,17,106,1,0.04710144927536232,0.03132530120481928,0.0948905109489051,0.4433734939759036,0.7737226277372263,0.12408759124087591,0.05434782608695653,0.10948905109489052,0.03614457831325301,0.6114391935471294,15,122,400
0.75,0.5,0.5,25.0,10.0,120.0,0.85,0.7,415,101,12,210,186,7,15,74,0,0.046511627906976744,0.02891566265060241,0.1188118811881188,0.5060240963855421,0.7326732673267327,0.1485148514851485,0.03488372093023256,0.0891089108910891,0.021686746987951807,0.6079310883109704,9,92,406
0.85,0.5,0.5,25.0,10.0,120.0,0.85,0.7,415,101,12,210,186,7,15,74,0,0.046511627906976744,0.02891566265060241,0.1188118811881188,0.5060240963855421,0.7326732673267327,0.1485148514851485,0.03488372093023256,0.0891089108910891,0.021686746987951807,0.6079310883109704,9,92,406
0.85,0.3,0.5,15.0,10.0,120.0,0.75,0.7,415,151,13,174,183,45,22,112,4,0.045936395759717315,0.03132530120481928,0.08609271523178808,0.41927710843373495,0.7417218543046358,0.1456953642384106,0.05653710247349823,0.10596026490066225,0.03855421686746988,0.6050465061623249,16,135,399
0.85,0.5,0.5,25.0,10.0,120.0,0.75,0.7,415,115,12,188,207,8,20,82,1,0.045283018867924525,0.02891566265060241,0.10434782608695652,0.4530120481927711,0.7130434782608696,0.17391304347826086,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6027802907848774,10,105,405
0.75,0.5,0.5,25.0,10.0,120.0,0.75,0.7,415,119,12,185,210,8,23,83,1,0.0449438202247191,0.02891566265060241,0.10084033613445378,0.4457831325301205,0.6974789915966386,0.19327731092436976,0.03745318352059925,0.08403361344537816,0.024096385542168676,0.6027802907848774,10,109,405
0.75,0.7,0.5,25.0,10.0,120.0,0.85,0.3,415,90,11,240,158,6,17,62,0,0.04356435643564356,0.02650602409638554,0.12222222222222222,0.5783132530120482,0.6888888888888889,0.18888888888888888,0.027722772277227723,0.07777777777777778,0.016867469879518072,0.6249614115869779,7,83,408
0.75,0.7,0.5,25.0,10.0,120.0,0.85,0.5,415,90,11,240,158,6,17,62,0,0.04356435643564356,0.02650602409638554,0.12222222222222222,0.5783132530120482,0.6888888888888889,0.18888888888888888,0.027722772277227723,0.07777777777777778,0.016867469879518072,0.6249614115869779,7,83,408
0.75,0.7,0.5,25.0,10.0,120.0,0.85,0.7,415,90,11,240,158,6,17,62,0,0.04356435643564356,0.02650602409638554,0.12222222222222222,0.5783132530120482,0.6888888888888889,0.18888888888888888,0.027722772277227723,0.07777777777777778,0.016867469879518072,0.6249614115869779,7,83,408
0.85,0.7,0.5,25.0,10.0,120.0,0.75,0.3,415,99,11,229,169,6,22,66,0,0.042801556420233464,0.02650602409638554,0.1111111111111111,0.5518072289156627,0.6666666666666666,0.2222222222222222,0.031128404669260704,0.08080808080808081,0.01927710843373494,0.6163941242698607,8,91,407
0.85,0.7,0.5,25.0,10.0,120.0,0.75,0.5,415,99,11,229,169,6,22,66,0,0.042801556420233464,0.02650602409638554,0.1111111111111111,0.5518072289156627,0.6666666666666666,0.2222222222222222,0.031128404669260704,0.08080808080808081,0.01927710843373494,0.6163941242698607,8,91,407
0.85,0.7,0.5,25.0,10.0,120.0,0.75,0.7,415,99,11,229,169,6,22,66,0,0.042801556420233464,0.02650602409638554,0.1111111111111111,0.5518072289156627,0.6666666666666666,0.2222222222222222,0.031128404669260704,0.08080808080808081,0.01927710843373494,0.6163941242698607,8,91,407
0.75,0.3,0.5,25.0,10.0,120.0,0.75,0.7,415,115,11,190,206,8,22,81,1,0.04150943396226415,0.02650602409638554,0.09565217391304348,0.4578313253012048,0.7043478260869566,0.19130434782608696,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6027802907848774,10,105,405
0.75,0.3,0.5,15.0,10.0,120.0,0.85,0.7,415,135,11,189,174,41,18,105,1,0.04,0.02650602409638554,0.08148148148148149,0.45542168674698796,0.7777777777777778,0.13333333333333333,0.05454545454545454,0.1111111111111111,0.03614457831325301,0.6114391935471294,15,120,400
0.85,0.7,0.5,25.0,10.0,120.0,0.85,0.3,415,89,10,241,158,6,17,62,0,0.03968253968253968,0.024096385542168676,0.11235955056179775,0.5807228915662651,0.6966292134831461,0.19101123595505617,0.02777777777777778,0.07865168539325842,0.016867469879518072,0.6249614115869779,7,82,408
0.85,0.7,0.5,25.0,10.0,120.0,0.85,0.5,415,89,10,241,158,6,17,62,0,0.03968253968253968,0.024096385542168676,0.11235955056179775,0.5807228915662651,0.6966292134831461,0.19101123595505617,0.02777777777777778,0.07865168539325842,0.016867469879518072,0.6249614115869779,7,82,408
0.85,0.7,0.5,25.0,10.0,120.0,0.85,0.7,415,89,10,241,158,6,17,62,0,0.03968253968253968,0.024096385542168676,0.11235955056179775,0.5807228915662651,0.6966292134831461,0.19101123595505617,0.02777777777777778,0.07865168539325842,0.016867469879518072,0.6249614115869779,7,82,408
0.75,0.3,0.5,25.0,10.0,120.0,0.85,0.7,415,99,10,212,186,7,15,74,0,0.038910505836575876,0.024096385542168676,0.10101010101010101,0.5108433734939759,0.7474747474747475,0.15151515151515152,0.03501945525291829,0.09090909090909091,0.021686746987951807,0.6079310883109704,9,90,406
0.85,0.3,0.5,25.0,10.0,120.0,0.85,0.7,415,99,10,212,186,7,15,74,0,0.038910505836575876,0.024096385542168676,0.10101010101010101,0.5108433734939759,0.7474747474747475,0.15151515151515152,0.03501945525291829,0.09090909090909091,0.021686746987951807,0.6079310883109704,9,90,406
0.85,0.3,0.5,25.0,10.0,120.0,0.75,0.7,415,110,10,194,203,8,19,80,1,0.0380952380952381,0.024096385542168676,0.09090909090909091,0.4674698795180723,0.7272727272727273,0.17272727272727273,0.038095238095238106,0.09090909090909091,0.024096385542168676,0.6027802907848774,10,100,405
0.85,0.3,0.5,15.0,10.0,120.0,0.85,0.7,415,134,10,188,176,41,17,106,1,0.03642987249544627,0.024096385542168676,0.07462686567164178,0.4530120481927711,0.7910447761194029,0.12686567164179105,0.0546448087431694,0.11194029850746269,0.03614457831325301,0.6114391935471294,15,119,400
0.85,0.9,0.5,5.0,10.0,120.0,0.85,0.3,415,34,4,388,21,2,22,8,0,0.017817371937639197,0.00963855421686747,0.11764705882352941,0.9349397590361446,0.23529411764705882,0.6470588235294118,0.0044543429844098,0.029411764705882353,0.0024096385542168677,0.6126935614582633,1,33,414
0.85,0.9,0.5,5.0,10.0,120.0,0.85,0.5,415,34,4,388,21,2,22,8,0,0.017817371937639197,0.00963855421686747,0.11764705882352941,0.9349397590361446,0.23529411764705882,0.6470588235294118,0.0044543429844098,0.029411764705882353,0.0024096385542168677,0.6126935614582633,1,33,414
0.85,0.9,0.5,5.0,10.0,120.0,0.85,0.7,415,34,4,388,21,2,22,8,0,0.017817371937639197,0.00963855421686747,0.11764705882352941,0.9349397590361446,0.23529411764705882,0.6470588235294118,0.0044543429844098,0.029411764705882353,0.0024096385542168677,0.6126935614582633,1,33,414
0.75,0.9,0.5,5.0,10.0,120.0,0.85,0.3,415,37,4,381,28,2,23,10,0,0.017699115044247787,0.00963855421686747,0.10810810810810811,0.9180722891566265,0.2702702702702703,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.6126935614582633,1,36,414
0.75,0.9,0.5,5.0,10.0,120.0,0.85,0.5,415,37,4,381,28,2,23,10,0,0.017699115044247787,0.00963855421686747,0.10810810810810811,0.9180722891566265,0.2702702702702703,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.6126935614582633,1,36,414
0.75,0.9,0.5,5.0,10.0,120.0,0.85,0.7,415,37,4,381,28,2,23,10,0,0.017699115044247787,0.00963855421686747,0.10810810810810811,0.9180722891566265,0.2702702702702703,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.6126935614582633,1,36,414
0.85,0.9,0.5,5.0,10.0,120.0,0.75,0.3,415,39,4,384,24,3,25,9,1,0.01762114537444934,0.00963855421686747,0.10256410256410256,0.9253012048192771,0.23076923076923078,0.6410256410256411,0.004405286343612335,0.02564102564102564,0.0024096385542168677,0.6126935614582633,1,38,414
0.85,0.9,0.5,5.0,10.0,120.0,0.75,0.5,415,39,4,384,24,3,25,9,1,0.01762114537444934,0.00963855421686747,0.10256410256410256,0.9253012048192771,0.23076923076923078,0.6410256410256411,0.004405286343612335,0.02564102564102564,0.0024096385542168677,0.6126935614582633,1,38,414
0.85,0.9,0.5,5.0,10.0,120.0,0.75,0.7,415,39,4,384,24,3,25,9,1,0.01762114537444934,0.00963855421686747,0.10256410256410256,0.9253012048192771,0.23076923076923078,0.6410256410256411,0.004405286343612335,0.02564102564102564,0.0024096385542168677,0.6126935614582633,1,38,414
0.75,0.9,0.5,5.0,10.0,120.0,0.75,0.3,415,47,4,377,31,3,31,11,1,0.017316017316017316,0.00963855421686747,0.0851063829787234,0.908433734939759,0.23404255319148937,0.6595744680851063,0.004329004329004329,0.02127659574468085,0.0024096385542168677,0.6126935614582633,1,46,414
0.75,0.9,0.5,5.0,10.0,120.0,0.75,0.5,415,47,4,377,31,3,31,11,1,0.017316017316017316,0.00963855421686747,0.0851063829787234,0.908433734939759,0.23404255319148937,0.6595744680851063,0.004329004329004329,0.02127659574468085,0.0024096385542168677,0.6126935614582633,1,46,414
0.75,0.9,0.5,5.0,10.0,120.0,0.75,0.7,415,47,4,377,31,3,31,11,1,0.017316017316017316,0.00963855421686747,0.0851063829787234,0.908433734939759,0.23404255319148937,0.6595744680851063,0.004329004329004329,0.02127659574468085,0.0024096385542168677,0.6126935614582633,1,46,414
0.85,0.9,0.5,25.0,10.0,120.0,0.75,0.3,415,32,2,383,29,1,20,10,0,0.008948545861297539,0.004819277108433735,0.0625,0.9228915662650602,0.3125,0.625,0.00447427293064877,0.03125,0.0024096385542168677,0.5283611097601337,1,31,414
0.85,0.9,0.5,25.0,10.0,120.0,0.75,0.5,415,32,2,383,29,1,20,10,0,0.008948545861297539,0.004819277108433735,0.0625,0.9228915662650602,0.3125,0.625,0.00447427293064877,0.03125,0.0024096385542168677,0.5283611097601337,1,31,414
0.85,0.9,0.5,25.0,10.0,120.0,0.75,0.7,415,32,2,383,29,1,20,10,0,0.008948545861297539,0.004819277108433735,0.0625,0.9228915662650602,0.3125,0.625,0.00447427293064877,0.03125,0.0024096385542168677,0.5283611097601337,1,31,414
0.85,0.9,0.5,15.0,10.0,120.0,0.75,0.3,415,34,2,383,27,3,21,10,1,0.008908685968819599,0.004819277108433735,0.058823529411764705,0.9228915662650602,0.29411764705882354,0.6176470588235294,0.0,0.0,0.0,0.0,0,34,415
0.85,0.9,0.5,15.0,10.0,120.0,0.75,0.5,415,34,2,383,27,3,21,10,1,0.008908685968819599,0.004819277108433735,0.058823529411764705,0.9228915662650602,0.29411764705882354,0.6176470588235294,0.0,0.0,0.0,0.0,0,34,415
0.85,0.9,0.5,15.0,10.0,120.0,0.75,0.7,415,34,2,383,27,3,21,10,1,0.008908685968819599,0.004819277108433735,0.058823529411764705,0.9228915662650602,0.29411764705882354,0.6176470588235294,0.0,0.0,0.0,0.0,0,34,415
0.75,0.9,0.5,25.0,10.0,120.0,0.75,0.3,415,37,2,376,36,1,23,12,0,0.008849557522123894,0.004819277108433735,0.05405405405405406,0.9060240963855422,0.32432432432432434,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.5283611097601337,1,36,414
0.75,0.9,0.5,25.0,10.0,120.0,0.75,0.5,415,37,2,376,36,1,23,12,0,0.008849557522123894,0.004819277108433735,0.05405405405405406,0.9060240963855422,0.32432432432432434,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.5283611097601337,1,36,414
0.75,0.9,0.5,25.0,10.0,120.0,0.75,0.7,415,37,2,376,36,1,23,12,0,0.008849557522123894,0.004819277108433735,0.05405405405405406,0.9060240963855422,0.32432432432432434,0.6216216216216216,0.004424778761061947,0.02702702702702703,0.0024096385542168677,0.5283611097601337,1,36,414
0.75,0.9,0.5,15.0,10.0,120.0,0.75,0.3,415,42,2,376,34,3,27,12,1,0.0087527352297593,0.004819277108433735,0.047619047619047616,0.9060240963855422,0.2857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0,42,415
0.75,0.9,0.5,15.0,10.0,120.0,0.75,0.5,415,42,2,376,34,3,27,12,1,0.0087527352297593,0.004819277108433735,0.047619047619047616,0.9060240963855422,0.2857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0,42,415
0.75,0.9,0.5,15.0,10.0,120.0,0.75,0.7,415,42,2,376,34,3,27,12,1,0.0087527352297593,0.004819277108433735,0.047619047619047616,0.9060240963855422,0.2857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0,42,415
0.85,0.9,0.5,25.0,10.0,120.0,0.85,0.3,415,24,1,392,22,0,16,7,0,0.004555808656036446,0.0024096385542168677,0.041666666666666664,0.944578313253012,0.2916666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0,24,415
0.85,0.9,0.5,25.0,10.0,120.0,0.85,0.5,415,24,1,392,22,0,16,7,0,0.004555808656036446,0.0024096385542168677,0.041666666666666664,0.944578313253012,0.2916666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0,24,415
0.85,0.9,0.5,25.0,10.0,120.0,0.85,0.7,415,24,1,392,22,0,16,7,0,0.004555808656036446,0.0024096385542168677,0.041666666666666664,0.944578313253012,0.2916666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0,24,415
0.75,0.9,0.5,25.0,10.0,120.0,0.85,0.3,415,27,1,385,29,0,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.927710843373494,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.75,0.9,0.5,25.0,10.0,120.0,0.85,0.5,415,27,1,385,29,0,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.927710843373494,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.75,0.9,0.5,25.0,10.0,120.0,0.85,0.7,415,27,1,385,29,0,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.927710843373494,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.85,0.9,0.5,15.0,10.0,120.0,0.85,0.3,415,27,1,386,26,2,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.9301204819277108,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.85,0.9,0.5,15.0,10.0,120.0,0.85,0.5,415,27,1,386,26,2,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.9301204819277108,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.85,0.9,0.5,15.0,10.0,120.0,0.85,0.7,415,27,1,386,26,2,17,9,0,0.004524886877828055,0.0024096385542168677,0.037037037037037035,0.9301204819277108,0.3333333333333333,0.6296296296296297,0.0,0.0,0.0,0.0,0,27,415
0.75,0.9,0.5,15.0,10.0,120.0,0.85,0.3,415,30,1,379,33,2,18,11,0,0.0044943820224719105,0.0024096385542168677,0.03333333333333333,0.9132530120481928,0.36666666666666664,0.6,0.0,0.0,0.0,0.0,0,30,415
0.75,0.9,0.5,15.0,10.0,120.0,0.85,0.5,415,30,1,379,33,2,18,11,0,0.0044943820224719105,0.0024096385542168677,0.03333333333333333,0.9132530120481928,0.36666666666666664,0.6,0.0,0.0,0.0,0.0,0,30,415
0.75,0.9,0.5,15.0,10.0,120.0,0.85,0.7,415,30,1,379,33,2,18,11,0,0.0044943820224719105,0.0024096385542168677,0.03333333333333333,0.9132530120481928,0.36666666666666664,0.6,0.0,0.0,0.0,0.0,0,30,415
